round,niche,temp,moist_level,sample_no,dry_mass,actual_moist_perc,flux_nmol_C2H4_g_hr,flux_gN_g_h
1,Soil,15,50,10,14.369,23.95,0.006,2.70342E-11
1,Soil,15,50,11,15.732,21.15,-0.008,-3.83879E-11
1,Soil,15,50,7,7.705,44.19,0.010,4.49812E-11
1,Soil,15,50,8,9.37,44.40,-0.007,-3.45577E-11
1,Soil,15,50,9,20.712,20.70,0.014,6.53259E-11
1,Soil,15,100,10,8.449,40.13,-0.006,-2.60231E-11
1,Soil,15,100,11,17.57,28.29,-0.009,-4.18191E-11
1,Soil,15,100,7,10.55,39.53,-0.003,-1.61053E-11
1,Soil,15,100,8,9.906,29.52,-0.010,-4.82056E-11
1,Soil,15,100,9,20.284,20.69,-0.007,-3.03783E-11
1,Soil,15,150,10,9.622,47.47,-0.011,-4.99855E-11
1,Soil,15,150,11,10.95,40.91,0.010,4.77169E-11
1,Soil,15,150,7,21.911,20.08,0.079,3.6717E-10
1,Soil,15,150,8,12.563,23.86,-0.013,-6.22599E-11
1,Soil,15,150,9,22.569,18.44,-0.004,-1.68441E-11
1,Wood,15,25,10,1.71,87.72,0.387,1.80902E-09
1,Wood,15,25,11,2.44,75.82,-0.044,-2.04175E-10
1,Wood,15,25,7,2.19,54.34,-0.105,-4.91478E-10
1,Wood,15,25,8,2.7,89.63,0.093,4.33141E-10
1,Wood,15,25,9,2.01,254.23,-0.042,-1.94974E-10
1,Wood,15,50,10,2.03,29.06,-0.015,-7.21934E-11
1,Wood,15,50,11,1.45,131.72,0.042,1.96784E-10
1,Wood,15,50,7,2.61,175.10,0.123,5.74108E-10
1,Wood,15,50,8,2.37,230.38,0.456,2.13108E-09
1,Wood,15,50,9,2.62,125.19,0.542,2.53105E-09
1,Wood,15,100,10,2.41,124.07,0.145,6.7662E-10
1,Wood,15,100,11,3.16,106.33,0.033,1.55896E-10
1,Wood,15,100,7,1.43,114.69,-0.145,-6.75227E-10
1,Wood,15,100,8,2.54,114.96,-0.024,-1.11891E-10
1,Wood,15,100,9,2.06,232.52,-0.075,-3.50195E-10
1,Wood,15,150,10,2.84,167.61,-0.062,-2.88687E-10
1,Wood,15,150,11,2.89,210.73,-0.037,-1.7228E-10
1,Wood,15,150,7,1.92,88.54,-0.050,-2.3334E-10
1,Wood,15,150,8,2.86,98.25,-0.054,-2.52951E-10
1,Wood,15,150,9,1.9,190.53,-0.084,-3.90561E-10
1,Lichen,25,25,13,2.67,29.96,7.591,3.54417E-08
1,Lichen,25,25,14,2.16,81.94,73.119,3.41387E-07
1,Lichen,25,25,15,1.38,60.14,1.052,4.91081E-09
1,Lichen,25,25,16,2.71,41.33,0.029,1.37342E-10
1,Lichen,25,25,17,2.65,53.21,-0.074,-3.45861E-10
1,Lichen,25,50,13,4.11,51.82,0.318,1.48569E-09
1,Lichen,25,50,14,4.29,53.15,-0.027,-1.24295E-10
1,Lichen,25,50,15,2.38,71.43,-0.073,-3.3929E-10
1,Lichen,25,50,16,1.23,191.87,0.099,4.64346E-10
1,Lichen,25,50,17,1.98,118.18,-0.090,-4.18259E-10
1,Lichen,25,100,13,1.11,63.06,-0.063,-2.95673E-10
1,Lichen,25,100,14,1.81,130.39,-0.103,-4.80884E-10
1,Lichen,25,100,15,4.59,25.71,0.297,1.38523E-09
1,Lichen,25,100,16,2.37,62.87,0.067,3.1199E-10
1,Lichen,25,100,17,4.95,47.07,-0.044,-2.04751E-10
1,Lichen,25,150,14,5.61,72.91,-0.022,-1.04278E-10
1,Lichen,25,150,15,1.69,123.67,6.977,3.25749E-08
1,Lichen,25,150,15,1.69,123.67,1.208,5.64154E-09
1,Lichen,25,150,16,0.97,178.35,0.030,1.40353E-10
1,Lichen,25,150,17,1.36,86.03,0.426,1.98819E-09
1,Litter,25,25,13,2.45,286.53,0.134,6.23891E-10
1,Litter,25,25,14,1.53,41.83,-0.137,-6.38009E-10
1,Litter,25,25,15,1.56,52.63,0.008,3.83858E-11
1,Litter,25,25,16,1.51,11.92,-0.101,-4.73797E-10
1,Litter,25,25,17,1.52,22.37,-0.085,-3.97143E-10
1,Litter,25,50,13,2.12,100.00,-0.010,-4.86362E-11
1,Litter,25,50,14,1.55,42.58,-0.083,-3.85425E-10
1,Litter,25,50,15,1.64,150.61,-0.051,-2.38342E-10
1,Litter,25,50,16,2.34,53.85,-0.088,-4.09864E-10
1,Litter,25,50,17,1.92,49.48,-0.039,-1.7986E-10
1,Litter,25,100,13,1.78,49.44,-0.012,-5.54884E-11
1,Litter,25,100,14,1.73,70.52,-0.114,-5.34577E-10
1,Litter,25,100,15,1.46,36.99,-0.145,-6.79161E-10
1,Litter,25,100,16,1.91,62.30,0.054,2.52814E-10
1,Litter,25,100,17,1.35,40.81,-0.084,-3.92701E-10
1,Litter,25,150,13,1.22,31.97,-0.247,-1.1511E-09
1,Litter,25,150,14,2.1,118.10,-0.060,-2.81307E-10
1,Litter,25,150,15,2.48,49.19,-0.103,-4.82408E-10
1,Litter,25,150,16,1.47,55.78,-0.212,-9.92074E-10
1,Litter,25,150,17,1.53,152.94,-0.101,-4.71985E-10
1,Moss,25,25,13,3.08,62.66,1.132,5.28697E-09
1,Moss,25,25,14,3.44,44.77,-0.084,-3.91502E-10
1,Moss,25,25,15,0.56,157.14,0.517,2.41587E-09
1,Moss,25,25,16,0.63,138.10,-0.618,-2.88474E-09
1,Moss,25,25,17,3.87,57.88,-0.109,-5.10435E-10
1,Moss,25,50,13,2.55,71.76,-0.003,-1.17497E-11
1,Moss,25,50,14,0.79,272.15,-0.078,-3.63655E-10
1,Moss,25,50,15,4.09,81.66,-0.026,-1.22398E-10
1,Moss,25,50,16,1.55,86.45,0.212,9.88795E-10
1,Moss,25,50,17,1.04,45.19,-0.021,-9.70526E-11
1,Moss,25,100,13,0.54,192.59,-0.147,-6.85803E-10
1,Moss,25,100,14,2.21,109.05,-0.049,-2.27357E-10
1,Moss,25,100,15,3.61,54.02,-0.030,-1.41156E-10
1,Moss,25,100,16,2.42,138.84,1.315,6.13907E-09
1,Moss,25,100,17,3.5,56.29,-0.013,-5.95068E-11
1,Moss,25,150,13,2.9,153.45,-0.261,-1.21663E-09
1,Moss,25,150,14,4.54,54.41,-0.173,-8.09376E-10
1,Moss,25,150,15,3.6,74.17,-0.196,-9.12791E-10
1,Moss,25,150,16,0.63,326.98,-0.681,-3.17841E-09
