Site,Species,Species.Name,Functional.Group,mean.cover
RidLkHO,CHAN,Chamerion angustifolium ,Forb,0.32
RidLkHO,PENSTEMON*SP,Penstemon sp.,Forb,0.2
RidLkHO,peca,Peltigera canadensis,Lichen,0.08
RidLkHO,ROCK,Rock,Rock,0.08
SoLewCan,LITTER (NO CHAR),Litter (No Char),Litter (No Char),68.2
SoLewCan,WOOD,Wood,Wood,17.64
SoLewCan,VASC,Vaccinium scparium,Shrub,11.64
SoLewCan,CAGE,Carex geyerii,Graminoid,5.84
SoLewCan,BARE SOIL,Bare Soil,Soil,2.96
SoLewCan,poju,Polytrichum juniperinum,Moss,2.8
SoLewCan,clafri,Cladonia fimbriata,Lichen,0.44
SoLewCan,ROCK,Rock,Rock,0.32
SoLewCan,CLASQU,Cladonia squamosa,Lichen,0.12
SoLewCan,CHAN,Chamerion angustifolium ,Forb,0.08
SoLewCan,peca,Peltigera canadensis,Lichen,0.04
