sample,temp,moist_level,sample_no,tin_mass,tin _wet_mass,tin _dry_mass,dry_mass,actual_moist,
Lichen,25,15,10,1.06,4.66,3.67,2.61,37.93103448,
Litter,150,15,8,1.04,3.62,2.91,1.87,37.96791444,
Lichen,100,5,1,1.06,7.87,5.99,4.93,38.13387424,
Lichen,25,5,5,1.08,4.34,3.44,2.36,38.13559322,
Soil,50,25,15,1.11,12.55,9.39,8.28,38.16425121,
Soil,100,5,3,1.09,21.91,16.129,15.039,38.44005585,
Soil,100,15,12,1.11,14.85,11.027,9.917,38.54996471,
Litter,35,100,23,1.12,3.782,3.04,1.92,38.64583333,
Soil,50,5,2,1.09,12.06,8.988,7.898,38.89592302,
Lichen,150,5,3,1.06,6.83,5.21,4.15,39.03614458,
Moss,150,35,23,1.07,7.25,5.51,4.44,39.18918919,
Soil,150,5,2,1.11,16.85,12.415,11.305,39.23042901,
Soil,25,35,24,1.08,13.8,10.21,9.13,39.32092004,
Soil,150,35,24,1.09,13.74,10.16,9.07,39.4707828,
Moss,100,5,5,1.04,6.02,4.61,3.57,39.49579832,
Soil,100,15,7,1.12,15.84,11.67,10.55,39.52606635,
Soil,150,25,17,1.05,18.34,13.43,12.38,39.66074313,
Soil,25,5,6,1.07,15.19,11.173,10.103,39.76046719,
Soil,100,15,10,1.07,12.91,9.519,8.449,40.13492721,
Litter,5,50,3,1.09,3.15,2.56,1.47,40.13605442,
Lichen,35,25,20,1.1,3.835,3.05,1.95,40.25641026,
Soil,100,5,5,1.1,16.66,12.187,11.087,40.34454767,
Wood,150,5,4,1.06,5.23,4.03,2.97,40.4040404,
Lichen,35,100,21,1.109,2.729,2.26,1.151,40.74717637,
Litter,25,100,17,1.1,3.001,2.45,1.35,40.81481481,
Soil,150,15,11,1.11,16.54,12.06,10.95,40.91324201,
Soil,25,25,18,1.13,11.39,8.41,7.28,40.93406593,
Soil,50,25,14,1.105,22.95,16.6,15.495,40.9809616,
Moss,100,5,4,1.05,7.33,5.5,4.45,41.12359551,
Lichen,25,25,16,1.11,4.94,3.82,2.71,41.32841328,
Soil,150,5,4,1.1,12.89,9.433,8.333,41.48565943,
Litter,25,25,14,1.11,3.28,2.64,1.53,41.83006536,
Moss,25,5,3,1.09,4.51,3.5,2.41,41.90871369,
Wood,50,25,16,1.07,4.21,3.28,2.21,42.08144796,
Moss,50,35,23,1.12,4.93,3.8,2.68,42.1641791,
Soil,25,15,12,1.08,8.87,6.559,5.479,42.17922979,
Litter,35,150,24,1.118,3.226,2.6,1.482,42.24021592,
Lichen,50,5,3,1.09,7.62,5.68,4.59,42.26579521,
Lichen,100,15,7,1.09,6.18,4.66,3.57,42.57703081,
Litter,25,50,14,1.1,3.31,2.65,1.55,42.58064516,
Litter,35,50,24,1.077,4.178,3.25,2.173,42.70593649,
Lichen,35,25,23,1.123,2.618,2.17,1.047,42.78892073,
Soil,50,5,3,1.09,7.5,5.567,4.477,43.17623409,
Litter,35,25,21,1.13,4.1,3.2,2.07,43.47826087,
Soil,50,15,7,1.09,12.2,8.795,7.705,44.19208306,
Moss,25,15,9,1.12,5.26,3.99,2.87,44.25087108,
Soil,150,5,6,1.1,11.78,8.5,7.4,44.32432432,
Soil,50,15,8,1.09,14.62,10.46,9.37,44.39701174,
Moss,100,5,1,1.05,7.26,5.35,4.3,44.41860465,
Moss,100,35,20,1.12,9.03,6.59,5.47,44.60694698,
Moss,25,25,14,1.12,6.1,4.56,3.44,44.76744186,
Litter,35,25,19,1.105,4.11,3.18,2.075,44.81927711,
Lichen,35,25,22,1.109,4.819,3.67,2.561,44.865287,
Moss,50,25,17,1.14,2.65,2.18,1.04,45.19230769,
Litter,100,15,12,1.06,4.59,3.49,2.43,45.26748971,
Moss,50,5,4,1.04,6.67,4.91,3.87,45.47803618,
Soil,25,35,23,1.07,15.96,11.3,10.23,45.55229717,
Soil,25,5,1,1.11,8.81,6.399,5.289,45.58517678,
Litter,35,150,21,1.11,3.667,2.86,1.75,46.11428571,
Litter,5,25,2,1.09,3.02,2.41,1.32,46.21212121,
Litter,5,150,2,1.08,3.98,3.06,1.98,46.46464646,
Soil,100,35,20,1.04,16.78,11.77,10.73,46.69151911,
Litter,5,100,5,1.1,4.14,3.17,2.07,46.85990338,
Lichen,25,100,17,1.07,8.35,6.02,4.95,47.07070707,
Soil,150,15,10,1.11,15.3,10.732,9.622,47.47453752,
Lichen,25,5,2,1.08,5.37,3.98,2.9,47.93103448,
Soil,25,15,11,1.06,13.37,9.348,8.288,48.52799228,
Moss,100,5,6,1.05,2.82,2.24,1.19,48.7394958,
Moss,50,35,19,1.16,8.69,6.22,5.06,48.81422925,
Lichen,50,15,10,1.07,8.36,5.96,4.89,49.0797546,
Litter,25,150,15,1.07,4.77,3.55,2.48,49.19354839,
Litter,5,150,4,1.07,3.01,2.37,1.3,49.23076923,
Moss,25,15,10,1.1,7.39,5.31,4.21,49.40617577,
Litter,25,100,13,1.1,3.76,2.88,1.78,49.43820225,
Litter,25,50,17,1.13,4,3.05,1.92,49.47916667,
Moss,50,35,24,1.12,9.29,6.56,5.44,50.18382353,
Lichen,25,5,6,1.09,4.14,3.12,2.03,50.24630542,
Litter,150,15,12,1.08,3.38,2.61,1.53,50.32679739,
Soil,50,5,5,1.12,14.74,10.158,9.038,50.69705687,
Litter,5,100,3,1.13,3.27,2.55,1.42,50.70422535,
Litter,100,15,11,1.1,2.97,2.34,1.24,50.80645161,
Moss,50,15,10,1.13,1.99,1.7,0.57,50.87719298,
Lichen,35,50,19,1.14,3.998,3.03,1.89,51.21693122,
Lichen,25,50,13,1.07,7.31,5.18,4.11,51.82481752,
Lichen,35,150,24,1.129,7,4.99,3.861,52.05905206,
Litter,5,50,4,1.11,4.76,3.51,2.4,52.08333333,
Litter,50,15,8,1.06,3.33,2.55,1.49,52.34899329,
Litter,25,25,15,1.09,3.471,2.65,1.56,52.62820513,
Lichen,150,5,5,1.07,6.07,4.34,3.27,52.90519878,
Lichen,25,50,14,1.1,7.67,5.39,4.29,53.14685315,
Lichen,25,25,17,1.1,5.16,3.75,2.65,53.20754717,
Moss,150,35,24,1.06,6.49,4.6,3.54,53.38983051,
Litter,35,50,23,1.11,4.075,3.04,1.93,53.62694301,
Litter,5,100,1,1.09,4.61,3.38,2.29,53.71179039,
Litter,25,50,16,1.11,4.71,3.45,2.34,53.84615385,
Moss,100,25,15,1.14,6.7,4.75,3.61,54.0166205,
Litter,5,150,1,1.08,3.73,2.8,1.72,54.06976744,
Wood,25,15,7,1.06,4.44,3.25,2.19,54.33789954,
Moss,150,25,14,1.06,8.07,5.6,4.54,54.40528634,
Moss,150,5,3,1.04,12.85,8.67,7.63,54.78374836,
Soil,100,35,22,1.06,14.61,9.81,8.75,54.85714286,
Litter,25,15,11,1.05,3.92,2.9,1.85,55.13513514,
Moss,50,35,22,1.12,7.42,5.17,4.05,55.55555556,
Lichen,25,150,18,1.09,6.35,4.47,3.38,55.62130178,
Litter,25,150,16,1.1,3.39,2.57,1.47,55.78231293,
Lichen,100,5,4,1.07,6.45,4.52,3.45,55.94202899,
Moss,100,25,17,1.15,6.62,4.65,3.5,56.28571429,
Soil,25,35,21,1.05,20.8,13.65,12.6,56.74603175,
Lichen,100,15,11,1.07,4.06,2.97,1.9,57.36842105,
Moss,25,25,17,1.14,7.25,5.01,3.87,57.88113695,
Wood,100,35,21,1.03,4.17,3,1.97,59.39086294,
Lichen,25,50,18,1.08,3.87,2.83,1.75,59.42857143,
Litter,5,50,1,1.08,5.18,3.65,2.57,59.53307393,
Lichen,35,150,19,1.112,4.606,3.3,2.188,59.68921389,
Litter,25,15,10,1.08,3.03,2.3,1.22,59.83606557,
Litter,25,15,7,1.13,3.85,2.83,1.7,60,
Lichen,25,25,15,1.09,3.3,2.47,1.38,60.14492754,
Soil,150,35,23,1.08,8.68,5.82,4.74,60.33755274,
Lichen,25,15,9,1.06,2.83,2.16,1.1,60.90909091,
Soil,150,15,12,1.09,12.24,7.991,6.901,61.57078684,
Moss,100,15,11,1.11,2.08,1.71,0.6,61.66666667,
Moss,150,25,17,1.08,7.09,4.79,3.71,61.99460916,
Litter,25,100,16,1.09,4.19,3,1.91,62.30366492,
Moss,25,25,13,1.15,6.16,4.23,3.08,62.66233766,
Lichen,25,100,16,1.09,4.95,3.46,2.37,62.86919831,
Litter,35,100,19,1.103,5.465,3.78,2.677,62.94359357,
Soil,150,35,19,1.06,12.01,7.78,6.72,62.94642857,
Lichen,25,100,13,1.07,2.88,2.18,1.11,63.06306306,
Litter,5,100,4,1.1,3.71,2.7,1.6,63.125,
Litter,5,50,6,1.1,6.13,4.18,3.08,63.31168831,
Moss,50,15,8,1.1,4.6,3.24,2.14,63.55140187,
Moss,25,35,21,1.14,8.19,5.44,4.3,63.95348837,
Lichen,25,15,12,1.06,7.62,5.06,4,64,
