,Bag_ID,sample.x,sample_no,moist_level,temp,1.5s peak area,ppm,mean_blank.x,median_blank.x,n.x,sample.y,mean_blank.y,median_blank.y,n.y,ppm_corrected
59,A,Moss,4,150,5,21220.5,3.51314,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-1.026084
98,A,Moss,3,150,5,13337.7,2.882516,2.44090175,1.8155,16,Bag_A,2.723724,2.723724,2,-1.656708
54,A,Soil,1,150,5,3096.8,2.063244,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.100824
55,A,Soil,2,150,5,14130,2.9459,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-1.218168
56,A,Soil,3,150,5,0,1.8155,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.348568
57,A,Soil,4,150,5,0,1.8155,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-2.348568
58,A,Soil,5,150,5,11271.1,2.717188,1.280441625,1.440344,16,Bag_A,2.723724,2.723724,2,-1.44688
7,A,Wood,1,150,5,2250.6,1.995548,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.637606
33,A,Wood,2,150,5,7199.3,2.391444,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.24171
46,A,Wood,4,150,5,0,1.8155,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.817654
47,A,Wood,5,150,5,0,1.8155,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.817654
69,A,Wood,3,150,5,4313.6,2.160588,1.305584667,0.90943,15,Bag_A,2.723724,2.723724,2,-1.472566
104,B,Lichen,8,25,15,613370.7,50.885156,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,46.458612
106,B,Lichen,10,25,15,304288.2,26.158556,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,21.732012
107,B,Lichen,9,25,15,47277.9,5.597732,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,1.171188
115,B,Lichen,7,25,15,3279695.6,264.191148,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,259.764604
120,B,Lichen,11,25,15,86154.4,8.707852,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,4.281308
121,B,Litter,5,25,15,7798,2.43934,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.988422
131,B,Litter,3,25,15,3925.3,2.129524,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-2.298238
132,B,Litter,4,25,15,11351.4,2.723612,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.70415
156,B,Litter,1,25,15,17879.9,3.245892,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.18187
167,B,Litter,2,25,15,12131.2,2.785996,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.641766
111,B,Moss,7,25,15,8703.9,2.511812,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-1.746996
127,B,Moss,10,25,15,288720.9,24.913172,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,20.654364
138,B,Moss,8,25,15,358240,30.4747,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,26.215892
140,B,Moss,11,25,15,16547.8,3.139324,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-1.119484
151,B,Moss,9,25,15,13631.1,2.905988,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-1.35282
101,B,Soil,11,25,15,1253.3,0.50713,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-3.376522
108,B,Soil,9,25,15,14325.3,1.81433,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-2.069322
109,B,Soil,10,25,15,24618.3,2.84363,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-1.040022
128,B,Soil,8,25,15,11577.4,1.53954,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-2.344112
152,B,Soil,7,25,15,17219,2.1037,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-1.779952
142,B,Wood,7,25,15,0,0.3818,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-2.970938
144,B,Wood,9,25,15,15536.9,1.93549,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-1.417248
145,B,Wood,10,25,15,94654.7,9.84727,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,6.494532
155,B,Wood,8,25,15,50980.6,5.47986,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,2.127122
157,B,Wood,11,25,15,13124.1,1.69421,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-1.658528
114,B,Lichen,9,50,15,21229.5,3.51386,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,-0.912684
125,B,Lichen,10,50,15,9457.8,2.572124,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,-1.85442
126,B,Lichen,7,50,15,21568780.8,1727.317964,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,1722.89142
136,B,Lichen,8,50,15,277491.4,24.014812,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,19.588268
139,B,Lichen,11,50,15,91391.4,9.126812,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,4.700268
123,B,Litter,2,50,15,12439,2.81062,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.617142
124,B,Litter,3,50,15,3364.6,2.084668,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-2.343094
134,B,Litter,1,50,15,19758.8,3.396204,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.031558
150,B,Litter,4,50,15,12750.4,2.835532,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.59223
181,B,Litter,5,50,15,0,1.8155,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-2.612262
182,B,Moss,11,50,15,54073.7,6.141396,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,1.882588
186,B,Moss,7,50,15,15890.7,3.086756,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-1.172052
189,B,Moss,10,50,15,21236.6,3.514428,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-0.74438
191,B,Moss,8,50,15,361838.8,30.762604,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,26.503796
192,B,Moss,9,50,15,123909.9,11.728292,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,7.469484
135,B,Soil,8,50,15,17242.4,2.10604,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-1.777612
137,B,Soil,9,50,15,54479.5,5.82975,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,1.946098
146,B,Soil,7,50,15,32129.5,3.59475,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-0.288902
169,B,Soil,10,50,15,33059.4,3.68774,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-0.195912
170,B,Soil,11,50,15,11022,1.484,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-2.399652
148,B,Wood,7,50,15,58447.6,6.22656,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,2.873822
149,B,Wood,8,50,15,139084.1,14.29021,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,10.937472
180,B,Wood,9,50,15,174966.1,17.87841,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,14.525672
183,B,Wood,10,50,15,21106.3,2.49243,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-0.860308
197,B,Wood,11,50,15,30910.3,3.47283,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,0.120092
102,B,Lichen,11,100,15,31028.1,4.297748,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,-0.128796
116,B,Lichen,10,100,15,6386.2,2.326396,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,-2.100148
118,B,Lichen,9,100,15,21494.8,3.535084,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,-0.89146
141,B,Lichen,8,100,15,302681.8,26.030044,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,21.6035
163,B,Lichen,7,100,15,7187.5,2.3905,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,-2.036044
153,B,Litter,1,100,15,29946.1,4.211188,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-0.216574
154,B,Litter,3,100,15,3596,2.10318,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-2.324582
171,B,Litter,2,100,15,20223.4,3.433372,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-0.99439
187,B,Litter,4,100,15,14667.3,2.988884,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.438878
193,B,Litter,5,100,15,12831.8,2.842044,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.585718
168,B,Moss,7,100,15,3151.5,2.06762,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-2.191188
176,B,Moss,8,100,15,111689.7,10.750676,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,6.491868
194,B,Moss,9,100,15,6641.6,2.346828,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-1.91198
196,B,Moss,10,100,15,406553.6,34.339788,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,30.08098
198,B,Moss,11,100,15,93891,9.32678,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,5.067972
117,B,Soil,10,100,15,19550.5,2.33685,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-1.546802
122,B,Soil,11,100,15,8116.4,1.19344,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-2.690212
164,B,Soil,7,100,15,20659.9,2.44779,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-1.435862
165,B,Soil,9,100,15,10749.4,1.45674,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-2.426912
172,B,Soil,8,100,15,13828.8,1.76468,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-2.118972
166,B,Wood,9,100,15,8057.1,1.18751,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-2.165228
173,B,Wood,8,100,15,17981.6,2.17996,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-1.172778
174,B,Wood,10,100,15,61449.3,6.52673,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,3.173992
175,B,Wood,11,100,15,35615.9,3.94339,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,0.590652
184,B,Wood,7,100,15,2514.3,0.63323,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-2.719508
103,B,Lichen,8,150,15,50871.3,5.885204,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,1.45866
105,B,Lichen,7,150,15,430476.2,36.253596,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,31.827052
112,B,Lichen,10,150,15,7362.9,2.404532,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,-2.022012
113,B,Lichen,11,150,15,151942.4,13.970892,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,9.544348
147,B,Lichen,9,150,15,8694.1,2.511028,2.0189625,1.983236,16,Bag_B,2.443308,2.443308,2,-1.915516
158,B,Litter,2,150,15,10235.7,2.634356,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.793406
188,B,Litter,1,150,15,16045.5,3.09914,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.328622
195,B,Litter,5,150,15,12711.6,2.832428,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-1.595334
199,B,Litter,4,150,15,49035.8,5.738364,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,1.310602
200,B,Litter,3,150,15,6253.8,2.315804,2.43269275,1.984454,16,Bag_B,2.443308,2.443308,2,-2.111958
119,B,Moss,10,150,15,139561,12.98038,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,8.721572
129,B,Moss,7,150,15,12095,2.7831,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-1.475708
130,B,Moss,8,150,15,27182.3,3.990084,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-0.268724
133,B,Moss,11,150,15,18533.8,3.298204,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-0.960604
143,B,Moss,9,150,15,11794.7,2.759076,2.44090175,1.8155,16,Bag_B,2.443308,2.443308,2,-1.499732
110,B,Soil,7,150,15,204306.5,20.81245,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,16.928798
177,B,Soil,8,150,15,8282.1,1.21001,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-2.673642
178,B,Soil,9,150,15,17209.6,2.10276,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-1.780892
179,B,Soil,10,150,15,14971,1.8789,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,-2.004752
190,B,Soil,11,150,15,37254.6,4.10726,1.280441625,1.440344,16,Bag_B,2.443308,2.443308,2,0.223608
159,B,Wood,8,150,15,9100,1.2918,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-2.060938
160,B,Wood,9,150,15,8677.2,1.24952,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-2.103218
161,B,Wood,10,150,15,6911,1.0729,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-2.279838
162,B,Wood,11,150,15,14220.1,1.80381,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-1.548928
185,B,Wood,7,150,15,15352.3,1.91703,1.305584667,0.90943,15,Bag_B,2.443308,2.443308,2,-1.435708
246,C,Lichen,13,25,25,2779407,223.69576,2.0189625,1.983236,16,Bag_C,2.84774,2.84774,2,218.864784
247,C,Lichen,14,25,25,21414573.9,1714.509112,2.0189625,1.983236,16,Bag_C,2.84774,2.84774,2,1709.678136
248,C,Lichen,15,25,25,232377.3,19.933384,2.0189625,1.983236,16,Bag_C,2.84774,2.84774,2,15.102408
249,C,Lichen,16,25,25,46690.5,5.07844,2.0189625,1.983236,16,Bag_C,2.84774,2.84774,2,0.247464
250,C,Lichen,17,25,25,9327.5,2.0894,2.0189625,1.983236,16,Bag_C,2.84774,2.84774,2,-2.741576
218,C,Litter,16,25,25,11167.5,2.2366,2.43269275,1.984454,16,Bag_C,2.84774,2.84774,2,-2.595594
219,C,Litter,17,25,25,14580.5,2.50964,2.43269275,1.984454,16,Bag_C,2.84774,2.84774,2,-2.322554
226,C,Litter,13,25,25,79685.4,7.718032,2.43269275,1.984454,16,Bag_C,2.84774,2.84774,2,2.885838
227,C,Litter,14,25,25,3206.6,1.599728,2.43269275,1.984454,16,Bag_C,2.84774,2.84774,2,-3.232466
264,C,Litter,15,25,25,34841.2,4.130496,2.43269275,1.984454,16,Bag_C,2.84774,2.84774,2,-0.701698
207,C,Moss,13,25,25,569046.1,47.339188,2.44090175,1.8155,16,Bag_C,2.84774,2.84774,2,42.675948
215,C,Moss,14,25,25,25269.6,3.837068,2.44090175,1.8155,16,Bag_C,2.84774,2.84774,2,-0.826172
217,C,Moss,16,25,25,10754.5,2.67586,2.44090175,1.8155,16,Bag_C,2.84774,2.84774,2,-1.98738
220,C,Moss,15,25,25,108534.3,10.498244,2.44090175,1.8155,16,Bag_C,2.84774,2.84774,2,5.835004
278,C,Moss,17,25,25,5881.4,2.286012,2.44090175,1.8155,16,Bag_C,2.84774,2.84774,2,-2.377228
281,C,Soil,13,25,25,34906.2,3.87242,1.280441625,1.440344,16,Bag_C,2.84774,2.84774,2,-0.415664
282,C,Soil,14,25,25,15657.4,1.94754,1.280441625,1.440344,16,Bag_C,2.84774,2.84774,2,-2.340544
283,C,Soil,15,25,25,19675.3,2.34933,1.280441625,1.440344,16,Bag_C,2.84774,2.84774,2,-1.938754
284,C,Soil,16,25,25,7553.8,1.13718,1.280441625,1.440344,16,Bag_C,2.84774,2.84774,2,-3.150904
285,C,Soil,17,25,25,79383.8,8.32018,1.280441625,1.440344,16,Bag_C,2.84774,2.84774,2,4.032096
257,C,Wood,13,25,25,4198.4,0.80164,1.305584667,0.90943,15,Bag_C,2.84774,2.84774,2,-2.95553
258,C,Wood,14,25,25,30614,3.4432,1.305584667,0.90943,15,Bag_C,2.84774,2.84774,2,-0.31397
259,C,Wood,15,25,25,71949.8,7.57678,1.305584667,0.90943,15,Bag_C,2.84774,2.84774,2,3.81961
260,C,Wood,16,25,25,267845.3,27.16633,1.305584667,0.90943,15,Bag_C,2.84774,2.84774,2,23.40916
261,C,Wood,17,25,25,65078.7,6.88967,1.305584667,0.90943,15,Bag_C,2.84774,2.84774,2,3.1325
251,C,Lichen,13,50,25,210454.3,18.179544,2.0189625,1.983236,16,Bag_C,2.84774,2.84774,2,13.348568
