sample,sample_no,moist_level,temp,1.5s peak area,ppm
Soil,11,50,15,11022,1.484
Soil,6,50,5,0,1.8155
Soil,7,100,15,20659.9,2.44779
Soil,8,100,15,13828.8,1.76468
Soil,9,100,15,10749.4,1.45674
Soil,10,100,15,19550.5,2.33685
Soil,11,100,15,8116.4,1.19344
Soil,6,100,5,0,1.8155
Soil,7,150,15,204306.5,20.81245
Soil,8,150,15,8282.1,1.21001
Soil,9,150,15,17209.6,2.10276
Soil,10,150,15,14971,1.8789
Soil,11,150,15,37254.6,4.10726
Soil,6,150,5,0,1.8155
Soil,13,25,25,34906.2,3.87242
Soil,14,25,25,15657.4,1.94754
Soil,15,25,25,19675.3,2.34933
Soil,16,25,25,7553.8,1.13718
Soil,17,25,25,79383.8,8.32018
Soil,18,100,25,1226.3,1.77205
Soil,13,50,25,212422.9,21.62409
Soil,14,50,25,29112.6,3.29306
Soil,15,50,25,17482.4,2.13004
Soil,16,50,25,23221.1,2.70391
Soil,17,50,25,2958.7,0.67767
Soil,13,100,25,28565.6,3.23836
Soil,14,100,25,21038.8,2.48568
Soil,15,100,25,19058.2,2.28762
Soil,16,100,25,3586.8,10.01353
Soil,17,100,25,96317.3,0.50443
Soil,13,150,25,13902.5,0.74048
Soil,14,150,25,3586.8,2.48808
Soil,15,150,25,21062.8,1.80435
Soil,16,150,25,14225.5,1.80435
Soil,17,150,25,29564.8,3.33828
Soil,24,100,35,1382.7,1.453816
Soil,24,150,35,1045.9,1.426872
Soil,24,25,35,6832.5,1.06505
Soil,18,150,25,4851.2,0.86692
Soil,19,25,35,18354.3,2.21723
Soil,20,25,35,20946.7,2.47647
Soil,21,25,35,2380.5,0.61985
Soil,22,25,35,9477.1,1.32951
Soil,23,25,35,40367.6,4.41856
Soil,12,25,15,3643,0.7461
Soil,19,50,35,24007.5,2.78255
Soil,20,50,35,19702.5,2.35205
Soil,21,50,35,32470.4,3.62884
Soil,22,50,35,29870.1,3.36881
Soil,23,50,35,16246.5,2.00645
Soil,19,100,35,15208,2.55984
Soil,20,100,35,34946.5,4.13892
Soil,21,100,35,9254.6,2.083568
Soil,22,100,35,32296.3,3.926904
Soil,23,100,35,10562.9,2.188232
Soil,18,25,25,2905.3,0.67233
Soil,19,150,35,2086.5,1.51012
Soil,20,150,35,26853.2,3.491456
Soil,21,150,35,7971.4,1.980912
Soil,22,150,35,21977.9,3.101432
Soil,23,150,35,29268.6,3.684688
Soil,12,150,15,1218.5,0.50365
Soil,12,50,15,0,0.3818
Soil,12,100,15,0,0.3818
Wood,24,150,35,47181.2,5.09992
Wood,1,25,5,0,1.8155
Wood,2,25,5,12943.2,2.850956
Wood,3,25,5,0,1.8155
Wood,4,25,5,16224.6,3.113468
Wood,5,25,5,13279.3,2.877844
Wood,1,50,5,11943.5,2.77098
Wood,2,50,5,10963.8,2.692604
Wood,3,50,5,1663,1.94854
Wood,4,50,5,16926.9,3.169652
Wood,5,50,5,3401.1,2.087588
Wood,1,100,5,5647.9,2.267332
Wood,2,100,5,0,1.8155
Wood,3,100,5,0,1.8155
Wood,4,100,5,0,1.8155
Wood,5,100,5,1100.7,1.903556
Wood,1,150,5,2250.6,1.995548
Wood,2,150,5,7199.3,2.391444
Wood,3,150,5,4313.6,2.160588
Wood,4,150,5,0,1.8155
Wood,5,150,5,0,1.8155
Wood,7,25,15,0,0.3818
Wood,8,25,15,50980.6,5.47986
Wood,9,25,15,15536.9,1.93549
Wood,10,25,15,94654.7,9.84727
Wood,11,25,15,13124.1,1.69421
Wood,6,25,5,0,1.8155
Wood,7,50,15,58447.6,6.22656
Wood,8,50,15,139084.1,14.29021
Wood,9,50,15,174966.1,17.87841
Wood,10,50,15,21106.3,2.49243
Wood,11,50,15,30910.3,3.47283
Wood,6,50,5,0,1.8155
Wood,7,100,15,2514.3,0.63323
Wood,8,100,15,17981.6,2.17996
Wood,9,100,15,8057.1,1.18751
Wood,10,100,15,61449.3,6.52673
Wood,11,100,15,35615.9,3.94339
Wood,6,100,5,0,1.8155
Wood,7,150,15,15352.3,1.91703
Wood,8,150,15,9100,1.2918
Wood,9,150,15,8677.2,1.24952
Wood,10,150,15,6911,1.0729
Wood,11,150,15,14220.1,1.80381
Wood,6,150,5,0,1.8155
Wood,13,25,25,4198.4,0.80164
Wood,14,25,25,30614,3.4432
Wood,15,25,25,71949.8,7.57678
Wood,16,25,25,267845.3,27.16633
Wood,17,25,25,65078.7,6.88967
Wood,13,50,25,17892,2.171
Wood,14,50,25,5387.1,0.92051
Wood,15,50,25,70680.9,7.44989
Wood,16,50,25,119813.7,12.36317
Wood,17,50,25,41375.3,4.51933
Wood,15,150,25,175535.4,17.93534
Wood,14,150,25,20503.6,2.43216
Wood,13,150,25,90690.9,9.45089
Wood,13,100,25,1458.3,0.52763
Wood,14,100,25,173989.5,17.78075
Wood,15,100,25,236228.2,24.00462
Wood,16,100,25,210290,21.4108
Wood,17,100,25,210706.6,21.45246
Wood,15,150,25,44051.7,4.78697
Wood,16,150,25,8238.2,1.20562
Wood,17,150,25,224501.7,22.83197
Wood,24,50,35,9829.4,1.36474
Wood,24,100,35,5838.2,0.96562
Wood,18,25,25,5276.3,0.90943
Wood,19,25,35,38033.4,4.18514
Wood,20,25,35,7076.5,1.08945
Wood,21,25,35,130932.8,13.47508
Wood,22,25,35,451841.9,45.56599
Wood,23,25,35,14911.6,1.87296
Wood,19,50,35,740068.2,74.38862
Wood,20,50,35,159783.8,16.36018
Wood,21,50,35,11494.2,1.53122
Wood,22,50,35,195686.5,19.95045
Wood,23,50,35,488207.1,49.20251
Wood,24,25,35,4193.5,0.80115
Wood,19,100,35,19857.4,2.36754
Wood,20,100,35,88846.3,9.26643
Wood,21,100,35,99534.6,10.33526
Wood,22,100,35,293343.7,29.71617
Wood,23,100,35,38834,4.2652
Wood,18,150,25,4122,0.794
Wood,19,150,35,15783.6,1.96016
Wood,20,150,35,109863.2,11.36812
Wood,21,150,35,43733.2,4.75512
Wood,22,150,35,238956.6,24.27746
Wood,23,150,35,388488.8,39.23068
Wood,18,50,25,3689.9,0.75079
Wood,12,150,15,1089.2,0.49072
Wood,12,25,15,0,0.3818
Wood,12,50,15,0,0.3818
Wood,12,100,15,0,0.3818
