,niche,sample_no,temp_C,moist,ppm,ppm_corrected,drymass,actual_moist,incubation_time,notes
107,Litter,7,35,25,8.583412,-10.24962,1.59,39.62264151,24.5,NA
123,Litter,8,35,25,10.281156,-8.551876,1.58,39.87341772,24.5,NA
139,Litter,9,35,25,5.71998,-13.113052,1.43,55.24475524,24.5,NA
12,Litter,1,35,50,13.61966,-5.213372,1.51,66.88741722,24.5,NA
28,Litter,2,35,50,12.679452,-6.15358,1.53,58.82352941,24.5,NA
44,Litter,3,35,50,13.311004,-5.522028,1.55,65.80645161,24.5,NA
60,Litter,4,35,50,13.778508,-5.054524,1.54,66.88311688,24.5,NA
76,Litter,5,35,50,4.96186,-13.871172,1.5,34,24.5,NA
92,Litter,6,35,50,6.420716,-12.412316,1.59,53.4591195,24.5,NA
108,Litter,7,35,50,24.67086,5.837828,1.72,59.30232558,24.5,NA
124,Litter,8,35,50,16.94166,-1.891372,1.52,68.42105263,24.5,NA
140,Litter,9,35,50,15.528716,-3.304316,1.5,65.33333333,24.5,NA
9,Litter,1,35,100,24.60326,5.770228,1.48,129.0540541,24.5,NA
25,Litter,2,35,100,26.503436,7.670404,1.5,120.6666667,24.5,NA
41,Litter,3,35,100,10.742748,-8.090284,1.53,152.2875817,24.5,NA
57,Litter,4,35,100,16.777724,-2.055308,1.44,143.0555556,24.5,NA
73,Litter,5,35,100,14.636708,-4.196324,1.5,134.6666667,24.5,NA
89,Litter,6,35,100,22.175428,3.342396,1.54,129.8701299,24.5,NA
105,Litter,7,35,100,26.398228,7.565196,1.62,119.7530864,24.5,NA
121,Litter,8,35,100,12.977604,-5.855428,1.45,144.8275862,24.5,NA
137,Litter,9,35,100,18.12122,-0.711812,1.52,113.1578947,24.5,NA
10,Litter,1,35,150,27.114804,8.281772,1.4,210,24.5,NA
26,Litter,2,35,150,13.142164,-5.690868,1.57,182.8025478,24.5,NA
42,Litter,3,35,150,22.63698,3.803948,1.53,188.2352941,24.5,NA
58,Litter,4,35,150,10.1009,-8.732132,1.58,181.6455696,24.5,NA
74,Litter,5,35,150,24.034012,5.20098,1.66,186.746988,24.5,NA
90,Litter,6,35,150,16.246476,-2.586556,1.45,196.5517241,24.5,NA
106,Litter,7,35,150,16.963924,-1.869108,1.49,195.3020134,24.5,NA
122,Litter,8,35,150,12.968892,-5.86414,1.31,223.6641221,24.5,NA
138,Litter,9,35,150,22.115788,3.282756,1.57,162.4203822,24.5,NA
157,Soil,1,5,10,2.530932,-2.2085925,9.2,17.60869565,23.75,NA
173,Soil,2,5,10,2.561892,-2.1776325,9.19,18.9336235,23.75,NA
189,Soil,3,5,10,2.51302,-2.2265045,9.21,17.48099891,23.75,NA
205,Soil,4,5,10,10.299804,5.5602795,9.16,17.79475983,23.75,NA
221,Soil,5,5,10,2.65522,-2.0843045,9.35,15.82887701,23.75,NA
237,Soil,6,5,10,4.822756,0.0832315,9.08,15.74889868,23.75,NA
253,Soil,7,5,10,2.71866,-2.0208645,9.44,15.25423729,23.75,NA
269,Soil,8,5,10,3.059188,-1.6803365,9.37,15.26147279,23.75,NA
285,Soil,9,5,10,2.439956,-2.2995685,9.45,15.44973545,23.75,NA
159,Soil,1,5,25,2.764596,-1.9749285,9.01,31.96448391,23.75,NA
175,Soil,2,5,25,2.59934,-2.1401845,8.61,38.0952381,23.75,NA
191,Soil,3,5,25,3.91218,-0.8273445,8.95,32.06703911,23.75,NA
207,Soil,4,5,25,2.612652,-2.1268725,8.72,31.07798165,23.75,NA
223,Soil,5,5,25,2.596908,-2.1426165,9,28.77777778,23.75,NA
239,Soil,6,5,25,2.836036,-1.9034885,9.04,29.75663717,23.75,NA
255,Soil,7,5,25,2.635572,-2.1039525,9.24,29.32900433,23.75,NA
271,Soil,8,5,25,2.747988,-1.9915365,9.04,27.98672566,23.75,NA
287,Soil,9,5,25,2.68378,-2.0557445,9.13,27.27272727,23.75,NA
160,Soil,1,5,50,2.6321,-2.1074245,9.23,55.79631636,23.75,NA
176,Soil,2,5,50,3.49886,-1.2406645,9.14,53.82932166,23.75,NA
192,Soil,3,5,50,2.622124,-2.1174005,9.12,55.59210526,23.75,NA
208,Soil,4,5,50,2.632308,-2.1072165,9.21,55.15743757,23.75,NA
224,Soil,5,5,50,2.468028,-2.2714965,9.02,55.87583149,23.75,NA
240,Soil,6,5,50,2.8945,-1.8450245,9.198,52.75059796,23.75,NA
256,Soil,7,5,50,3.015756,-1.7237685,9.239,52.61391926,23.75,NA
272,Soil,8,5,50,2.511556,-2.2279685,9.1,52.41758242,23.75,NA
288,Soil,9,5,50,2.89114,-1.8483845,9.05,53.37016575,23.75,NA
158,Soil,1,5,100,2.954676,-1.7848485,9.02,108.5365854,23.75,NA
174,Soil,2,5,100,3.345516,-1.3940085,8.79,115.0170648,23.75,NA
190,Soil,3,5,100,3.370812,-1.3687125,9.44,101.1652542,23.75,NA
206,Soil,4,5,100,10.370076,5.6305515,8.85,108.3615819,23.75,NA
222,Soil,5,5,100,3.55414,-1.1853845,9.28,104.9568966,23.75,NA
238,Soil,6,5,100,2.74662,-1.9929045,9.29,102.583423,23.75,NA
254,Soil,7,5,100,2.40806,-2.3314645,9.12,33.55263158,23.75,NA
270,Soil,8,5,100,2.872932,-1.8665925,9.21,106.8403909,23.75,NA
286,Soil,9,5,100,3.737852,-1.0016725,9.31,104.6186896,23.75,NA
145,Soil,1,15,10,2.646231,-5.002467,9.08,17.84140969,24.5,NA
161,Soil,2,15,10,2.441202,-5.207496,8.7,18.50574713,24.5,NA
177,Soil,3,15,10,2.330565,-5.318133,9.13,15.33406353,24.5,NA
193,Soil,4,15,10,1.963005,-5.685693,9.24,15.8008658,24.5,NA
209,Soil,5,15,10,2.159304,-5.489394,9.39,15.22896699,24.5,NA
225,Soil,6,15,10,7.534662,-0.114036,9.31,13.85606874,24.5,NA
241,Soil,7,15,10,2.082444,-5.566254,9.27,15.85760518,24.5,NA
