,data_file,niche,sample_no,temp_C,moist_level,moist,peaka rea,ppm,Bag_ID,bag_avg,avg_blank,median_blank,ppm_orreted,incubation_time
258,2022_09_06_REH_lim_exp2_057,Litter,6,25,0.25,25,20259.7,3.751676,A,6.220324,3.594198,3.580336,-6.048984,24
259,2022_09_06_REH_lim_exp2_058,Litter,7,25,0.25,25,19753.3,3.711164,A,6.220324,3.594198,3.580336,-6.089496,24
260,2022_09_06_REH_lim_exp2_059,Litter,8,25,0.25,25,21639,3.86202,A,6.220324,3.594198,3.580336,-5.93864,24
261,2022_09_06_REH_lim_exp2_060,Litter,9,25,0.25,25,21953.2,3.887156,A,6.220324,3.594198,3.580336,-5.913504,24
262,2022_09_06_REH_lim_exp2_062,Litter,1,25,0.5,50,35394.8,4.962484,A,6.220324,3.594198,3.580336,-4.838176,24
263,2022_09_06_REH_lim_exp2_063,Litter,2,25,0.5,50,31125.3,4.620924,A,6.220324,3.594198,3.580336,-5.179736,24
264,2022_09_06_REH_lim_exp2_064,Litter,3,25,0.5,50,39595.6,5.298548,A,6.220324,3.594198,3.580336,-4.502112,24
265,2022_09_06_REH_lim_exp2_065,Litter,4,25,0.5,50,33565.7,4.816156,A,6.220324,3.594198,3.580336,-4.984504,24
266,2022_09_06_REH_lim_exp2_066,Litter,5,25,0.5,50,35489.4,4.970052,A,6.220324,3.594198,3.580336,-4.830608,24
267,2022_09_06_REH_lim_exp2_067,Litter,6,25,0.5,50,42369.9,5.520492,A,6.220324,3.594198,3.580336,-4.280168,24
268,2022_09_06_REH_lim_exp2_068,Litter,7,25,0.5,50,57581.3,6.737404,A,6.220324,3.594198,3.580336,-3.063256,24
269,2022_09_06_REH_lim_exp2_069,Litter,8,25,0.5,50,25438.6,4.165988,A,6.220324,3.594198,3.580336,-5.634672,24
270,2022_09_06_REH_lim_exp2_070,Litter,9,25,0.5,50,35254.5,4.95126,A,6.220324,3.594198,3.580336,-4.8494,24
271,2022_09_06_REH_lim_exp2_072,Litter,1,25,1,100,79751,8.51098,A,6.220324,3.594198,3.580336,-1.28968,24
272,2022_09_06_REH_lim_exp2_073,Litter,2,25,1,100,79039.1,8.454028,A,6.220324,3.594198,3.580336,-1.346632,24
273,2022_09_06_REH_lim_exp2_074,Litter,3,25,1,100,46254.6,5.831268,A,6.220324,3.594198,3.580336,-3.969392,24
274,2022_09_06_REH_lim_exp2_075,Litter,4,25,1,100,148114.6,13.980068,A,6.220324,3.594198,3.580336,4.179408,24
275,2022_09_06_REH_lim_exp2_076,Litter,5,25,1,100,76915.1,8.284108,A,6.220324,3.594198,3.580336,-1.516552,24
276,2022_09_06_REH_lim_exp2_077,Litter,6,25,1,100,34446.7,4.886636,A,6.220324,3.594198,3.580336,-4.914024,24
277,2022_09_06_REH_lim_exp2_078,Litter,7,25,1,100,55218.8,6.548404,A,6.220324,3.594198,3.580336,-3.252256,24
278,2022_09_06_REH_lim_exp2_079,Litter,8,25,1,100,112373.1,11.120748,A,6.220324,3.594198,3.580336,1.320088,24
279,2022_09_06_REH_lim_exp2_080,Litter,9,25,1,100,88399.6,9.202868,A,6.220324,3.594198,3.580336,-0.597792,24
280,2022_09_06_REH_lim_exp2_082,Litter,1,25,1.5,150,5612.8,2.579924,A,6.220324,3.594198,3.580336,-7.220736,24
281,2022_09_06_REH_lim_exp2_083,Litter,2,25,1.5,150,132347.2,12.718676,A,6.220324,3.594198,3.580336,2.918016,24
