niche,temp,moist_level,sample_no,dry_mass,actual_moist,peak_area,ppm,ppm_corrected,hrs_incubation,flux_nmol_C2H4_g_hr,flux_mol_N_g_hr,flux_gram_N_g_hr,actual_moist_perc,group_mean,group_sd,moist_z,actual_moist_group
Lichen,5,150,4,2.77,1.075812274,10514.9,2.656692,-2.050268,22,0,-2.4337151522010136e-11,-3.408831802233394e-10,107.5812274,113.042837835,77.04552767916405,-0.07088809174938025,"(99.2,226]"
Lichen,5,150,5,3.27,0.529051988,16561.3,3.140404,-1.566556,22,0,-1.575204897193571e-11,-2.2063422433521192e-10,52.905198799999994,113.042837835,77.04552767916405,-0.7805467863810015,"(40.3,60.9]"
Lichen,15,25,7,1.21,0.842975207,3279695.6,264.191148,259.764604,22,21.176527135723052,7.058842378574351e-9,9.887108754397737e-8,84.29752069999999,55.209271145,27.067279053268535,1.0746647085491738,"(60.9,99.2]"
Lichen,15,25,8,3.68,0.309782609,613370.7,50.885156,46.458612,22,1.2453130762358517,4.1510435874528403e-10,5.81424222163757e-9,30.9782609,55.209271145,27.067279053268535,-0.895214114330194,"[1.21,40.3]"
Lichen,15,25,9,1.1,0.609090909,47277.9,5.597732,1.171188,22,0.10502533250964602,3.500844416988201e-11,4.903527749542863e-10,60.909090899999995,55.209271145,27.067279053268535,0.2105797093155437,"(40.3,60.9]"
Lichen,15,25,10,2.61,0.379310345,304288.2,26.158556,21.732012,22,0.8213335535648923,2.7377785118829747e-10,3.834724228239126e-9,37.9310345,55.209271145,27.067279053268535,-0.6383440541251431,"[1.21,40.3]"
Lichen,15,25,11,2.08,0.370192308,86154.4,8.707852,4.281308,22,0.20303610518017914,6.767870172672639e-11,9.479552714757385e-10,37.0192308,55.209271145,27.067279053268535,-0.6720306207802385,"[1.21,40.3]"
Lichen,15,50,7,2.45,0.66530612200000006,21568780.8,1727.317964,1722.89142,22,69.36684791290162,2.3122282637633877e-8,3.238668762205464e-7,66.53061220000001,54.50758062,108.67380000843337,0.11063413241339669,"(60.9,99.2]"
Lichen,15,50,8,10.53,0.241215575,277491.4,24.014812,19.588268,22,0.18349650739345585,6.116550246448529e-11,8.567268433693062e-10,24.121557499999998,54.50758062,108.67380000843337,-0.2796076249992359,"[1.21,40.3]"
Lichen,15,50,9,3.07,0.03257329,21229.5,3.51386,-0.912684,22,0,-9.77509402063275e-12,-1.3691680941879673e-10,3.257329,54.50758062,108.67380000843337,-0.47159712475337057,"[1.21,40.3]"
Lichen,15,50,10,4.89,0.490797546,9457.8,2.572124,-1.85442,22,0,-1.2469186626467934e-11,-1.7465215632094842e-10,49.079754599999994,54.50758062,108.67380000843337,-0.049946040532113455,"(40.3,60.9]"
