niche,sample_no,temp_C,moist,ppm,Bag_ID,avg_blank,bag_avg,ppm_corrected,incubation_time
Soil,5,15,25,4.611678,AB,5.4895155,2.1591825,-3.03702,24.5
Soil,6,15,25,3.595803,AB,5.4895155,2.1591825,-4.052895,24.5
Soil,7,15,25,18.110724,AB,5.4895155,2.1591825,10.462026,24.5
Soil,8,15,25,3.952635,AB,5.4895155,2.1591825,-3.696063,24.5
Soil,9,15,25,2.848614,AB,5.4895155,2.1591825,-4.800084,24.5
Soil,1,15,50,3.105366,AB,5.4895155,2.1591825,-4.543332,24.5
Soil,2,15,50,3.33969,AB,5.4895155,2.1591825,-4.309008,24.5
Soil,3,15,50,3.254631,AB,5.4895155,2.1591825,-4.394067,24.5
Soil,4,15,50,2.580324,AB,5.4895155,2.1591825,-5.068374,24.5
Soil,5,15,50,2.891301,AB,5.4895155,2.1591825,-4.757397,24.5
Soil,6,15,50,3.36012,AB,5.4895155,2.1591825,-4.288578,24.5
Soil,7,15,50,2.584059,AB,5.4895155,2.1591825,-5.064639,24.5
Soil,8,15,50,2.182434,AB,5.4895155,2.1591825,-5.466264,24.5
Soil,9,15,50,2.61195,AB,5.4895155,2.1591825,-5.036748,24.5
Soil,1,15,100,2.969142,AB,5.4895155,2.1591825,-4.679556,24.5
Soil,2,15,100,2.895486,AB,5.4895155,2.1591825,-4.753212,24.5
Soil,3,15,100,4.349247,AB,5.4895155,2.1591825,-3.299451,24.5
Soil,4,15,100,2.818842,AB,5.4895155,2.1591825,-4.829856,24.5
Soil,5,15,100,2.457528,AB,5.4895155,2.1591825,-5.19117,24.5
Soil,6,15,100,2.622093,AB,5.4895155,2.1591825,-5.026605,24.5
Soil,7,15,100,3.035751,AB,5.4895155,2.1591825,-4.612947,24.5
Soil,8,15,100,2.597586,AB,5.4895155,2.1591825,-5.051112,24.5
Soil,9,15,100,2.616441,AB,5.4895155,2.1591825,-5.032257,24.5
Soil,1,15,10,2.646231,AB,5.4895155,2.1591825,-5.002467,24.5
Soil,2,15,10,2.441202,AB,5.4895155,2.1591825,-5.207496,24.5
Soil,3,15,10,2.330565,AB,5.4895155,2.1591825,-5.318133,24.5
Soil,4,15,10,1.963005,AB,5.4895155,2.1591825,-5.685693,24.5
Soil,5,15,10,2.159304,AB,5.4895155,2.1591825,-5.489394,24.5
Soil,6,15,10,7.534662,AB,5.4895155,2.1591825,-0.114036,24.5
Soil,7,15,10,2.082444,AB,5.4895155,2.1591825,-5.566254,24.5
Soil,8,15,10,2.338764,AB,5.4895155,2.1591825,-5.309934,24.5
Soil,9,15,10,2.474214,AB,5.4895155,2.1591825,-5.174484,24.5
Wood,1,15,25,6.670086,AB,2.70956625,2.1591825,1.80133725,24.25
Wood,2,15,25,3.241239,AB,2.70956625,2.1591825,-1.62750975,24.25
