"","data_file","niche","sample_no","temp","moist_level","peaka rea","ppm","Bag_ID","bag_avg","avg_blank","ppm_corrected"
"82","2022_09_02_REH_clim_exp2_058","Litter",1,"15 C",0.5,12577.5,2.990175,"AB",2.1591825,2.88242925,-2.05143675
"83","2022_09_02_REH_clim_exp2_059","Litter",2,"15 C",0.5,13513.6,3.074424,"AB",2.1591825,2.88242925,-1.96718775
"84","2022_09_02_REH_clim_exp2_060","Litter",3,"15 C",0.5,12009.8,2.939082,"AB",2.1591825,2.88242925,-2.10252975
"85","2022_09_02_REH_clim_exp2_061","Litter",4,"15 C",0.5,16521.2,3.345108,"AB",2.1591825,2.88242925,-1.69650375
"86","2022_09_02_REH_clim_exp2_062","Litter",5,"15 C",0.5,9364.5,2.701005,"AB",2.1591825,2.88242925,-2.34060675
"87","2022_09_02_REH_clim_exp2_063","Litter",6,"15 C",0.5,11415,2.88555,"AB",2.1591825,2.88242925,-2.15606175
"88","2022_09_02_REH_clim_exp2_064","Litter",7,"15 C",0.5,4566.6,2.269194,"AB",2.1591825,2.88242925,-2.77241775
"89","2022_09_02_REH_clim_exp2_065","Litter",8,"15 C",0.5,11243.1,2.870079,"AB",2.1591825,2.88242925,-2.17153275
"90","2022_09_02_REH_clim_exp2_066","Litter",9,"15 C",0.5,9583.7,2.720733,"AB",2.1591825,2.88242925,-2.32087875
"91","2022_09_02_REH_clim_exp2_068","Litter",1,"15 C",1,23075.2,3.934968,"AB",2.1591825,2.88242925,-1.10664375
"92","2022_09_02_REH_clim_exp2_069","Litter",2,"15 C",1,9785.6,2.738904,"AB",2.1591825,2.88242925,-2.30270775
"93","2022_09_02_REH_clim_exp2_070","Litter",3,"15 C",1,17816.1,3.461649,"AB",2.1591825,2.88242925,-1.57996275
"94","2022_09_02_REH_clim_exp2_071","Litter",4,"15 C",1,12580.4,2.990436,"AB",2.1591825,2.88242925,-2.05117575
"95","2022_09_02_REH_clim_exp2_072","Litter",5,"15 C",1,6700.5,2.461245,"AB",2.1591825,2.88242925,-2.58036675
"96","2022_09_02_REH_clim_exp2_073","Litter",6,"15 C",1,8824.7,2.652423,"AB",2.1591825,2.88242925,-2.38918875
"97","2022_09_02_REH_clim_exp2_074","Litter",7,"15 C",1,11695.8,2.910822,"AB",2.1591825,2.88242925,-2.13078975
"98","2022_09_02_REH_clim_exp2_075","Litter",8,"15 C",1,8170.2,2.593518,"AB",2.1591825,2.88242925,-2.44809375
"99","2022_09_02_REH_clim_exp2_076","Litter",9,"15 C",1,28666.7,4.438203,"AB",2.1591825,2.88242925,-0.603408750000001
"100","2022_09_02_REH_clim_exp2_078","Litter",1,"15 C",1.5,15359.8,3.240582,"AB",2.1591825,2.88242925,-1.80102975
"101","2022_09_02_REH_clim_exp2_079","Litter",2,"15 C",1.5,13835.4,3.103386,"AB",2.1591825,2.88242925,-1.93822575
"102","2022_09_02_REH_clim_exp2_080","Litter",3,"15 C",1.5,16912.4,3.380316,"AB",2.1591825,2.88242925,-1.66129575
"103","2022_09_02_REH_clim_exp2_081","Litter",4,"15 C",1.5,25007.1,4.108839,"AB",2.1591825,2.88242925,-0.932772750000001
"104","2022_09_02_REH_clim_exp2_082","Litter",5,"15 C",1.5,25282.7,4.133643,"AB",2.1591825,2.88242925,-0.90796875
"105","2022_09_02_REH_clim_exp2_083","Litter",6,"15 C",1.5,6188.6,2.415174,"AB",2.1591825,2.88242925,-2.62643775
"106","2022_09_02_REH_clim_exp2_084","Litter",7,"15 C",1.5,45407.8,5.944902,"AB",2.1591825,2.88242925,0.90329025
"107","2022_09_02_REH_clim_exp2_085","Litter",8,"15 C",1.5,19269.6,3.592464,"AB",2.1591825,2.88242925,-1.44914775
"108","2022_09_02_REH_clim_exp2_086","Litter",9,"15 C",1.5,30577.1,4.610139,"AB",2.1591825,2.88242925,-0.43147275
"109","2022_09_02_REH_clim_exp2_091","Litter",1,"5 C",0.25,5154,2.32206,"AB",2.1591825,2.06210175,-1.89922425
"110","2022_09_02_REH_clim_exp2_092","Litter",2,"5 C",0.25,7503.4,2.533506,"AB",2.1591825,2.06210175,-1.68777825
"111","2022_09_02_REH_clim_exp2_093","Litter",3,"5 C",0.25,3492.5,2.172525,"AB",2.1591825,2.06210175,-2.04875925
"112","2022_09_02_REH_clim_exp2_094","Litter",4,"5 C",0.25,10684.8,2.819832,"AB",2.1591825,2.06210175,-1.40145225
"113","2022_09_02_REH_clim_exp2_095","Litter",5,"5 C",0.25,4621.8,2.274162,"AB",2.1591825,2.06210175,-1.94712225
"114","2022_09_02_REH_clim_exp2_096","Litter",6,"5 C",0.25,2833.9,2.113251,"AB",2.1591825,2.06210175,-2.10803325
"115","2022_09_02_REH_clim_exp2_097","Litter",7,"5 C",0.25,20524.2,3.705378,"AB",2.1591825,2.06210175,-0.51590625
"116","2022_09_02_REH_clim_exp2_098","Litter",8,"5 C",0.25,4148.6,2.231574,"AB",2.1591825,2.06210175,-1.98971025
"117","2022_09_02_REH_clim_exp2_099","Litter",9,"5 C",0.25,7875.9,2.567031,"AB",2.1591825,2.06210175,-1.65425325
"118","2022_09_02_REH_clim_exp2_101","Litter",1,"5 C",0.5,4613.8,2.273442,"AB",2.1591825,2.06210175,-1.94784225
"119","2022_09_02_REH_clim_exp2_102","Litter",2,"5 C",0.5,0,1.8582,"AB",2.1591825,2.06210175,-2.36308425
"120","2022_09_02_REH_clim_exp2_103","Litter",3,"5 C",0.5,1527.1,1.995639,"AB",2.1591825,2.06210175,-2.22564525
"121","2022_09_02_REH_clim_exp2_104","Litter",4,"5 C",0.5,2357,2.07033,"AB",2.1591825,2.06210175,-2.15095425
"122","2022_09_02_REH_clim_exp2_105","Litter",5,"5 C",0.5,7628.5,2.544765,"AB",2.1591825,2.06210175,-1.67651925
"123","2022_09_02_REH_clim_exp2_106","Litter",6,"5 C",0.5,5411.9,2.345271,"AB",2.1591825,2.06210175,-1.87601325
"124","2022_09_02_REH_clim_exp2_107","Litter",7,"5 C",0.5,9278,2.69322,"AB",2.1591825,2.06210175,-1.52806425
"125","2022_09_02_REH_clim_exp2_108","Litter",8,"5 C",0.5,4973.9,2.305851,"AB",2.1591825,2.06210175,-1.91543325
"126","2022_09_02_REH_clim_exp2_109","Litter",9,"5 C",0.5,5357.6,2.340384,"AB",2.1591825,2.06210175,-1.88090025
"127","2022_09_02_REH_clim_exp2_111","Litter",1,"5 C",1,7190.4,2.505336,"AB",2.1591825,2.06210175,-1.71594825
"128","2022_09_02_REH_clim_exp2_112","Litter",2,"5 C",1,5052.9,2.312961,"AB",2.1591825,2.06210175,-1.90832325
"129","2022_09_02_REH_clim_exp2_113","Litter",3,"5 C",1,6337.7,2.428593,"AB",2.1591825,2.06210175,-1.79269125
"130","2022_09_02_REH_clim_exp2_114","Litter",4,"5 C",1,3305.4,2.155686,"AB",2.1591825,2.06210175,-2.06559825
"131","2022_09_02_REH_clim_exp2_115","Litter",5,"5 C",1,3078.3,2.135247,"AB",2.1591825,2.06210175,-2.08603725
"132","2022_09_02_REH_clim_exp2_116","Litter",6,"5 C",1,15583.6,3.260724,"AB",2.1591825,2.06210175,-0.96056025
"133","2022_09_02_REH_clim_exp2_117","Litter",7,"5 C",1,9911.3,2.750217,"AB",2.1591825,2.06210175,-1.47106725
"134","2022_09_02_REH_clim_exp2_118","Litter",8,"5 C",1,6182.3,2.414607,"AB",2.1591825,2.06210175,-1.80667725
"135","2022_09_02_REH_clim_exp2_119","Litter",9,"5 C",1,4007.9,2.218911,"AB",2.1591825,2.06210175,-2.00237325
"136","2022_09_02_REH_clim_exp2_121","Litter",1,"5 C",1.5,6794.9,2.469741,"AB",2.1591825,2.06210175,-1.75154325
"137","2022_09_02_REH_clim_exp2_122","Litter",2,"5 C",1.5,7155.5,2.502195,"AB",2.1591825,2.06210175,-1.71908925
"138","2022_09_02_REH_clim_exp2_123","Litter",3,"5 C",1.5,6922.5,2.481225,"AB",2.1591825,2.06210175,-1.74005925
"139","2022_09_02_REH_clim_exp2_124","Litter",4,"5 C",1.5,5863.8,2.385942,"AB",2.1591825,2.06210175,-1.83534225
"140","2022_09_02_REH_clim_exp2_125","Litter",5,"5 C",1.5,13793.4,3.099606,"AB",2.1591825,2.06210175,-1.12167825
"141","2022_09_02_REH_clim_exp2_126","Litter",6,"5 C",1.5,7201.1,2.506299,"AB",2.1591825,2.06210175,-1.71498525
"142","2022_09_02_REH_clim_exp2_127","Litter",7,"5 C",1.5,16686.7,3.360003,"AB",2.1591825,2.06210175,-0.86128125
"143","2022_09_02_REH_clim_exp2_128","Litter",8,"5 C",1.5,51130.8,6.459972,"AB",2.1591825,2.06210175,2.23868775
"144","2022_09_02_REH_clim_exp2_129","Litter",9,"5 C",1.5,1554.4,1.998096,"AB",2.1591825,2.06210175,-2.22318825
"145","2022_09_05_REH_clim_exp2_019","Soil",1,"5 C",0.25,7921.2,2.764596,"AB",2.1591825,2.580342,-1.9749285
"146","2022_09_05_REH_clim_exp2_020","Soil",2,"5 C",0.25,5855.5,2.59934,"AB",2.1591825,2.580342,-2.1401845
"147","2022_09_05_REH_clim_exp2_021","Soil",3,"5 C",0.25,22266,3.91218,"AB",2.1591825,2.580342,-0.8273445
"148","2022_09_05_REH_clim_exp2_022","Soil",4,"5 C",0.25,6021.9,2.612652,"AB",2.1591825,2.580342,-2.1268725
"149","2022_09_05_REH_clim_exp2_023","Soil",5,"5 C",0.25,5825.1,2.596908,"AB",2.1591825,2.580342,-2.1426165
"150","2022_09_05_REH_clim_exp2_024","Soil",6,"5 C",0.25,8814.2,2.836036,"AB",2.1591825,2.580342,-1.9034885
"151","2022_09_05_REH_clim_exp2_025","Soil",7,"5 C",0.25,6308.4,2.635572,"AB",2.1591825,2.580342,-2.1039525
"152","2022_09_05_REH_clim_exp2_026","Soil",8,"5 C",0.25,7713.6,2.747988,"AB",2.1591825,2.580342,-1.9915365
